Ewe/V,<I>/mA
-0.38466087,-1.319320404036262e-07
-0.38463277,-3.493619165484802e-06
-0.38869205,-9.469905577508875e-05
-0.39315286,-0.0001494385642891519
-0.39364877,-0.0001531541252006731
-0.39415154,-0.0001567240091288919
-0.39464921,-0.0001604187257855824
-0.39514333,-0.0001639014102086857
-0.39564455,-0.0001672331994389726
-0.39616618,-0.0001707647695554848
-0.39667246,-0.0001743187320210346
-0.39717263,-0.0001777549172469716
-0.39767995,-0.0001810769557845609
-0.39815554,-0.0001843731053870383
-0.398684,-0.0001876320586584377
-0.39919293,-0.000190843810826292
-0.39967403,-0.0001939015259335118
-0.40015578,-0.0001969109907467674
-0.40065867,-0.0002001065221756354
-0.40114632,-0.0002033388309764967
-0.40168065,-0.0002063080265644317
-0.40216124,-0.000209340121389544
-0.40266162,-0.0002123956806759378
-0.40317792,-0.0002153641569209322
-0.40367255,-0.0002180885144129939
-0.4041549,-0.0002210343685267921
-0.40465611,-0.000224146445058675
-0.40514806,-0.0002270861372784955
-0.40564436,-0.000229895192172043
-0.40614793,-0.0002327501900863389
-0.40665039,-0.0002357140666154698
-0.40715268,-0.0002385454844679097
-0.40764159,-0.0002414703130179333
-0.40815574,-0.0002443220934125125
-0.40865257,-0.0002471239786582726
-0.4091635,-0.0002498602850580396
-0.40965918,-0.000252632549435191
-0.41013753,-0.0002553843599310246
-0.41063771,-0.0002581657888556421
-0.41114148,-0.000260951032739994
-0.411659,-0.0002637915935742455
-0.41215789,-0.0002664467640864107
-0.4126426,-0.0002688549590217259
-0.4131436,-0.000271448516522705
-0.4136425,-0.0002742410516392781
-0.41414198,-0.0002770564094168584
-0.41465318,-0.0002796200362219572
-0.41514528,-0.0002821090235927319
-0.4156425,-0.0002846508510898548
-0.41613331,-0.0002872147555939989
-0.41664511,-0.0002898870823426301
-0.41714907,-0.0002926662873381562
-0.41766265,-0.0002953697305740693
-0.41817275,-0.0002979178629916356
-0.41867742,-0.0003005099980765815
-0.41918346,-0.0003030632562378605
-0.41966876,-0.0003056137081027062
-0.42018297,-0.0003081329299069067
-0.42064193,-0.0003107752510933199
-0.42115211,-0.0003133536583508978
-0.4216516,-0.0003158018142265188
-0.42213842,-0.0003181646521221017
-0.42263839,-0.0003206081725727024
-0.42313468,-0.0003230751964211904
-0.42365015,-0.000325720329244549
-0.42417577,-0.0003283257553819016
-0.4246749,-0.0003308835401506821
-0.42516947,-0.0003334070168555733
-0.42564332,-0.0003358943266128464
-0.42615646,-0.0003382202091786345
-0.42667103,-0.0003406494608700263
-0.42716822,-0.000343279785469084
-0.4276756,-0.00034557883507794
-0.42815942,-0.0003479462062641516
-0.42865047,-0.0003504536750066796
-0.42915994,-0.0003530574227557648
-0.42963126,-0.0003554401546352875
-0.4301312,-0.0003577107394516256
-0.43063834,-0.000360107878097757
-0.43114468,-0.0003624972584509153
-0.43165797,-0.0003649051631563688
-0.43213865,-0.0003674920166971372
-0.43262973,-0.000370140758874463
-0.43313068,-0.000372618738395062
-0.43363231,-0.000374848065668492
-0.43388271,-0.0003761332731560935
-0.43417445,-0.0003757358385040859
-0.43445593,-0.0003516138959403876
-0.43425065,-0.0002992602477307721
-0.43376017,-0.0002553670162007146
-0.43322107,-0.0002291998736028344
-0.43271813,-0.0002118946511270921
-0.43222898,-0.0001982670888133345
-0.43173796,-0.0001867390770476708
-0.43122464,-0.0001760980638681315
-0.43070728,-0.0001664781267310086
-0.43019542,-0.0001577266421514249
-0.42970234,-0.0001494958843583443
-0.42922065,-0.0001419929135240451
-0.42873272,-0.0001350007379288503
-0.42824194,-0.0001282957384521271
-0.42773429,-0.0001219537213762154
-0.42723858,-0.0001157541801822613
-0.4267351,-0.0001096956178925104
-0.42626244,-0.0001040105076735402
-0.42576489,-9.863693877479145e-05
-0.42524394,-9.334509207258557e-05
-0.42472276,-8.82949136751074e-05
-0.42421961,-8.330017353559704e-05
-0.42374897,-7.838817888720581e-05
-0.42324796,-7.368510681839409e-05
-0.422723,-6.918875620882676e-05
-0.42225322,-6.47198078881472e-05
-0.42175466,-6.029457322424706e-05
-0.42124051,-5.591684554962775e-05
-0.42072958,-5.1722742952093e-05
-0.42024252,-4.773587672254377e-05
-0.41774631,-2.849308814769293e-05
-0.41527423,-9.559310239139738e-06
-0.41475543,-5.942847708326974e-06
-0.41426119,-2.369709854779897e-06
-0.40974608,2.6331141678152e-05
-0.40523669,5.4378970684478e-05
-0.40474138,5.734722449064804e-05
-0.40423384,6.04349212591376e-05
-0.40373152,6.327856564937472e-05
-0.40322652,6.611556584714578e-05
-0.40273824,6.919022997761996e-05
-0.40224317,7.20367364987456e-05
-0.40173009,7.490601856093005e-05
-0.4012301,7.783316673508303e-05
-0.40072063,8.06588666953901e-05
-0.40024272,8.339933269690486e-05
-0.39973959,8.61633279782832e-05
-0.39923477,8.902883746486666e-05
-0.39874139,9.17221163018885e-05
-0.39824295,9.43623630754926e-05
