time/s,Ewe/V
68496.28551019612,-0.38399446
68496.65151011012,-0.37398067
68497.64470987674,-0.36396343
68500.69910915592,-0.3539564
68530.69930202048,-0.35447565
68560.69949494931,-0.3593207
68590.69968784042,-0.36250874
68620.6998807427,-0.36458576
68650.70007366082,-0.36630771
68680.70026653656,-0.36754093
68710.70045948168,-0.36857176
68740.70065234345,-0.36945373
68770.70084527787,-0.37015623
68800.70103816432,-0.37085494
68830.70123107184,-0.37138563
68860.70142398495,-0.37185144
68890.7016168657,-0.37228286
68920.70180980582,-0.37266085
68950.7020026677,-0.37303886
68980.70219560736,-0.37335956
69010.7023884888,-0.37362298
69040.70258140191,-0.37398952
69070.7027743099,-0.37418041
69096.28536824812,-0.37443623
