time/s,Ewe/V
69096.33796823677,-0.37446159
69096.83076811931,-0.3644478
69097.8163678837,-0.35443747
69099.71036743221,-0.344419
69103.75476646656,-0.33441582
69111.63116460433,-0.32439733
69121.63136225741,-0.31601679
69131.63155991049,-0.30940402
69141.63175753469,-0.30335245
69151.63195515051,-0.29764834
69161.63215277193,-0.29204729
69171.632350425,-0.28644627
69181.63254807808,-0.28050926
69191.63274571298,-0.27436227
69201.63294332879,-0.26786017
69211.63314094461,-0.26080832
69221.633338593,-0.25301576
69231.63353624608,-0.24445575
69241.63373389171,-0.23485345
69250.90173168248,-0.22484261
69259.41812965227,-0.2148165
69267.34352776744,-0.20479804
69274.7927260201,-0.19479483
69281.91392434876,-0.18479164
69288.84952271939,-0.17475788
69295.68352110521,-0.16472797
69302.48451948244,-0.15472096
69309.28851786163,-0.14471394
69316.12531623078,-0.13470311
69323.05671459576,-0.12469991
69330.13511293405,-0.11469289
69337.36071123742,-0.10468588
69344.75110950333,-0.094678864
69352.34390769464,-0.084675662
69360.16790583055,-0.074661009
69368.17430392187,-0.064657815
69376.40210197796,-0.054654613
69384.7629000151,-0.044651411
69393.33329800284,-0.034644399
69401.93089597218,-0.024625927
69410.6320938972,-0.01462273
69419.34809181839,-0.0046195313
69423.32949086977,2.6617818e-07
69423.32969086978,-6.082196e-05
