Ewe/V,<I>/mA
-0.25595942,0.002072911011055112
-0.25626811,0.001928775027745688
-0.25682113,0.001669435877206355
-0.25734207,0.001432816418754451
-0.25785327,0.001232396892090846
-0.2583589,0.001064889686757751
-0.25886333,0.0009232626937776562
-0.2593675,0.0008009242425301884
-0.25986999,0.0006934489664234683
-0.26038438,0.0005984285273573017
-0.26089218,0.00051395326462861
-0.26140571,0.0004381934740430803
-0.26391718,0.0001846451353680099
-0.26642615,-3.345559593061594e-05
-0.26693779,-6.540153314441998e-05
-0.26742458,-9.617727586272754e-05
-0.26797056,-0.0001251235115281213
-0.26844108,-0.0001527162955123155
-0.26892,-0.0001791763113740464
-0.26942226,-0.0002043583868322056
-0.26991233,-0.000228419271998994
-0.27042234,-0.0002514426261970783
-0.27093101,-0.0002735935877353761
-0.27143416,-0.0002948272702404339
-0.27193856,-0.0003150227089295009
-0.27243659,-0.0003346170219460723
-0.27293378,-0.0003535919585947005
-0.27342674,-0.0003718730168758271
-0.27393198,-0.0003893046099625952
-0.27443022,-0.000406288119241557
-0.27494121,-0.0004227476215250894
-0.27542502,-0.0004383034159858379
-0.27592924,-0.0004537883125724177
-0.27644193,-0.0004687049464269805
-0.27694505,-0.0004834151406814466
-0.27745181,-0.0004976435606675565
-0.2779341,-0.0005114685554872241
-0.27841944,-0.0005248585555279912
-0.27893847,-0.0005377818116459017
-0.27944794,-0.0005505462767258797
-0.27994132,-0.0005633597774485008
-0.28043407,-0.0005758896540673619
-0.28094229,-0.0005877096974456573
-0.28144777,-0.0005987885401905419
-0.281939,-0.0006099654145617481
-0.28243449,-0.0006212507234050896
-0.28293738,-0.0006321179551175898
-0.28344607,-0.0006427077035671882
-0.28394154,-0.0006530311176767894
-0.28445846,-0.0006631616147556229
-0.28496513,-0.0006730066768193561
-0.28545749,-0.000682719413951551
-0.28595829,-0.000692633960002069
-0.2864559,-0.0007021802381064791
-0.28696772,-0.0007112726258061142
-0.28746706,-0.000720179291386523
-0.28796127,-0.0007289741182898142
