time/s,Ewe/V
261880.6155749871,-0.24582815
261880.9215750358,-0.23571131
261881.3917751092,-0.22568034
261882.6377753052,-0.21567556
261892.6377768698,-0.21000962
261902.6377784344,-0.20951711
261912.6377799991,-0.20913911
261922.6377815637,-0.20887949
261932.6377831283,-0.20861986
261942.6377846929,-0.20833351
261952.6377862575,-0.20811208
261962.6377878222,-0.20784481
261972.6377893868,-0.20765772
261982.6377909514,-0.20747447
261992.637792516,-0.20727593
262002.6377940807,-0.20709266
262012.6377956453,-0.20693231
262022.6377972099,-0.2066994
262032.6377987745,-0.20648178
262042.6378003391,-0.20632906
262052.6378019038,-0.20614198
262062.6378034684,-0.20598544
262072.637805033,-0.20575635
262082.6378065976,-0.20557308
262092.6378081623,-0.20535547
262102.6378097269,-0.20514166
262112.6378112915,-0.20495839
262122.6378128557,-0.20472549
262132.6378144203,-0.20457277
262142.6378159849,-0.20443913
262152.6380097643,-0.20425588
262162.6382023133,-0.20410699
262172.6383948624,-0.20385498
262182.6385874115,-0.20372517
262192.6387799606,-0.20348082
262202.6389725097,-0.20333955
262212.6391650587,-0.2030952
262222.6393576078,-0.20296156
262232.6395501569,-0.20274393
262242.639742706,-0.20256449
262252.6399352551,-0.20236214
262262.6401278041,-0.20227051
262272.6403203532,-0.20208342
262282.6405129023,-0.20191926
262292.6407054514,-0.20185052
262302.6408980004,-0.20170163
262312.6410905495,-0.20151836
262322.6412830986,-0.20130835
262332.6414756477,-0.201148
262342.6416681968,-0.20106401
262352.6418607458,-0.20086166
262362.6420532949,-0.20076238
262372.642245844,-0.20067076
262382.6424383931,-0.20052186
262392.6426309422,-0.20038441
262402.6428234912,-0.20020878
262412.6430160403,-0.20058677
262422.6432085894,-0.20059058
262432.6434011385,-0.20052949
262442.6435936876,-0.20035386
262452.6437862366,-0.20026223
262462.6439787857,-0.20025459
262472.6441713348,-0.19999115
262482.6443638839,-0.19983843
262492.644556433,-0.19969335
262502.644748982,-0.19962081
262512.6449415311,-0.19949481
262522.6451340802,-0.1993421
262532.6453266293,-0.19922754
262542.6455191784,-0.19914737
262552.6457117274,-0.19901755
262562.6459042765,-0.19895647
262572.6460968256,-0.19886866
262582.6462893747,-0.19878848
262592.6464819238,-0.19860521
262602.6466744728,-0.19847159
262612.6468670219,-0.1983265
262622.647059571,-0.19823869
262632.6472521201,-0.19804396
262642.6474446692,-0.19797906
262652.6476372182,-0.19782634
262662.6478297673,-0.19763161
262672.6480223164,-0.19758579
262682.6482148655,-0.19742544
262692.6484074146,-0.19729182
262702.6485999641,-0.20132746
262712.6487925136,-0.19964753
262722.6489850632,-0.19881521
262732.6491776127,-0.19807452
262742.6493701623,-0.19777671
262752.6495627118,-0.19772325
262762.6497552614,-0.19762781
262772.6499478109,-0.19749035
262782.6501403605,-0.19734909
262792.65033291,-0.19723837
262802.6505254596,-0.1971162
262812.6507180091,-0.19701692
262822.6509105586,-0.19699019
262832.6511031082,-0.19690238
262842.6512956577,-0.19678783
262852.6514882073,-0.19668093
262862.6516807568,-0.19669621
262872.6518733064,-0.19649766
262882.6520658559,-0.19641748
262892.6522584055,-0.19631441
262902.6524509548,-0.1962724
262912.6526435041,-0.19612351
262922.6528360529,-0.1959746
262932.6530286022,-0.19587533
262942.6532211516,-0.1957837
262952.6534137009,-0.19574551
262962.6536062502,-0.19556989
262972.6537987995,-0.19558516
262982.6539913488,-0.19555843
262992.6541838981,-0.19545153
263002.6543764476,-0.19536753
263012.654568997,-0.1953828
263022.6547615464,-0.19531408
263032.6549540958,-0.19526446
263042.6551466453,-0.19517663
263052.6553391949,-0.19511555
263062.6555317444,-0.195043
263072.6557242938,-0.19498956
263082.6559168432,-0.19489411
263092.6561093926,-0.19479866
263102.6563019421,-0.19469175
263112.6564944914,-0.19457339
263122.6566870408,-0.19448557
263132.6568795902,-0.19443212
263142.6570721396,-0.19426413
263152.657264689,-0.19411522
