Ewe/V,<I>/mA
-0.25911987,2.039094169958844e-06
-0.25938344,1.846594345943632e-06
-0.25934485,6.498358565739831e-07
-0.25926569,-4.099349893414714e-06
-0.26161176,-2.340039743313818e-05
-0.26415205,-3.81157848113185e-05
-0.26464292,-3.998306716244596e-05
-0.26514587,-4.243989775221623e-05
-0.26565039,-4.448869171264503e-05
-0.2661404,-4.59884448589412e-05
-0.26664233,-4.739022373693698e-05
-0.26714361,-4.890637649589765e-05
-0.26764125,-5.060079514704742e-05
-0.26814702,-5.20143670891442e-05
-0.26865107,-5.330042999779371e-05
-0.26915124,-5.498520711929374e-05
-0.26963452,-5.648239103990039e-05
-0.27012792,-5.765049582738416e-05
-0.2706396,-5.902415883038295e-05
-0.27115321,-6.085860395109769e-05
-0.27164662,-6.277424091860137e-05
-0.27213454,-6.423410304200357e-05
-0.27264917,-6.564560853634786e-05
-0.27314281,-6.735117268295366e-05
-0.27364221,-6.925631702061697e-05
-0.27413201,-7.083425467263105e-05
-0.27462351,-7.23244385493762e-05
-0.27512038,-7.400089842761858e-05
-0.27562949,-7.548663165834676e-05
-0.27613544,-7.691881248522096e-05
-0.27662951,-7.843708725953726e-05
-0.27712822,-7.981794115713469e-05
-0.27761975,-8.113128735574198e-05
-0.27812952,-8.280276182193289e-05
-0.27863312,-8.446584891956722e-05
-0.27913758,-8.587249058783334e-05
-0.27963376,-8.736118801338393e-05
-0.28013399,-8.877439112947192e-05
-0.28063315,-9.013385980931256e-05
-0.28111535,-9.134615767699424e-05
-0.28160852,-9.244706185469222e-05
-0.28209582,-9.37984341194205e-05
-0.28259331,-9.528032700877086e-05
-0.28309733,-9.705791338395364e-05
-0.28359815,-9.851522224414116e-05
-0.28410754,-9.979174157908298e-05
-0.28460139,-0.0001011904228612874
-0.2851001,-0.0001028016708072821
-0.2856065,-0.000104147893967749
-0.28608549,-0.000105708015999645
-0.28659502,-0.0001075310286877447
-0.28908849,-0.0001150219883504055
-0.29159996,-0.0001219694472133085
-0.2921074,-0.0001241750029226693
-0.29261929,-0.0001271022305007591
-0.29311994,-0.0001289171590609854
-0.29359847,-0.0001301984612938323
-0.29409638,-0.0001317126251773513
-0.29460764,-0.0001338115386244173
-0.29511255,-0.0001354752902679401
-0.29560363,-0.0001364507197481349
-0.29611102,-0.0001378608139930285
-0.29660788,-0.0001391615905958978
-0.29710659,-0.0001396499256029647
-0.29760683,-0.0001400414001990493
-0.29807162,-0.0001416171850939436
-0.29858792,-0.0001434895518488875
-0.29908967,-0.0001453967880748978
-0.29959646,-0.0001473012106948235
-0.30009773,-0.0001486273218284208
-0.30061346,-0.0001499405616414145
-0.30110875,-0.0001514768948119913
-0.30161896,-0.0001522267991478856
-0.3021073,-0.0001532326018605116
-0.30260921,-0.000155064383200064
-0.30308867,-0.0001567041799885585
-0.30359542,-0.0001582146030193157
-0.30409756,-0.0001602506986273522
-0.30459163,-0.0001618825070990055
-0.30511668,-0.0001623366703521831
-0.30559886,-0.0001645611737330849
-0.30609378,-0.0001674977243392625
-0.30657318,-0.0001700868915577311
-0.30708295,-0.0001719693310338671
-0.30756807,-0.0001732312270519318
-0.30780903,-0.000173795495841963
-0.30811056,-0.0001741499515648939
-0.30841902,-0.0001722668209064684
-0.30824462,-0.0001647849320828856
-0.30778301,-0.0001551830357500338
-0.30725649,-0.0001468085875213007
-0.30674228,-0.0001398406062536328
-0.30624884,-0.0001342684955926822
-0.30574906,-0.0001296632976172302
-0.30526027,-0.0001255364427042477
-0.30475879,-0.0001216285205979746
-0.30424178,-0.0001184537923116661
-0.30374968,-0.000115565611277246
-0.30324394,-0.0001130757127443547
-0.30273801,-0.0001102066293478182
-0.30224052,-0.0001077652846443342
-0.3017537,-0.0001054860299350162
-0.30127043,-0.0001031045183784358
-0.30076659,-0.000100795756258812
-0.30027446,-9.890181280314488e-05
-0.2997759,-9.725110946116304e-05
-0.29926044,-9.506779003829988e-05
-0.29876888,-9.353174383014118e-05
-0.29825407,-9.175667203938702e-05
-0.29773813,-8.975713570146253e-05
-0.29723302,-8.802415290018635e-05
-0.29677165,-8.626379223675628e-05
-0.29626441,-8.435831344084281e-05
-0.29576486,-8.266381514153702e-05
-0.2952663,-8.104991079731049e-05
-0.2947748,-7.944533574657283e-05
-0.29426929,-7.807265514101352e-05
-0.29378369,-7.672831023026105e-05
-0.29327607,-7.494843846331885e-05
-0.29279855,-7.324919858314348e-05
-0.2922805,-7.112132716765923e-05
-0.29177138,-6.912313438079201e-05
-0.291269,-6.819428484016528e-05
-0.29074273,-6.710603511069044e-05
-0.29025924,-6.531620805684947e-05
-0.28975183,-6.330227156299466e-05
-0.28926331,-6.18780246121009e-05
-0.28875795,-6.043557994383207e-05
-0.28826901,-5.880916201358652e-05
-0.28775692,-5.713693024147207e-05
-0.287283,-5.54481436110003e-05
-0.2867707,-5.406001613058247e-05
-0.28627363,-5.251162684140204e-05
-0.28576899,-5.085801279636619e-05
-0.28526109,-4.93265944425252e-05
-0.28476238,-4.806486031241219e-05
-0.28427044,-4.661115796503917e-05
-0.28376067,-4.469466840099039e-05
-0.28324667,-4.297834937848008e-05
-0.27880239,-2.8902620969078e-05
-0.27830875,-2.701486118894525e-05
-0.27779558,-2.530854866715011e-05
-0.27728817,-2.408194396358077e-05
-0.27679729,-2.286082864791795e-05
-0.27629703,-2.148952629315517e-05
-0.27581173,-1.995819736243416e-05
-0.27529815,-1.833426393592122e-05
-0.27480087,-1.677101831816153e-05
-0.27431065,-1.526428032202888e-05
-0.27381676,-1.374717595581378e-05
-0.27331764,-1.239077723598589e-05
-0.27279067,-1.126678906168135e-05
-0.27228579,-9.756810900146104e-06
-0.27177688,-8.279547725149112e-06
-0.27130061,-6.73639593805472e-06
-0.27079278,-5.162350019658157e-06
-0.27030176,-3.856820188763638e-06
-0.26780826,3.396298355382398e-06
-0.26333407,1.669098500958766e-05
-0.26080158,2.388663361645952e-05
-0.26030666,2.53931880125585e-05
-0.25981721,2.687110322683505e-05
-0.25931868,2.860439898366279e-05
-0.25880766,3.005786146348812e-05
-0.2583009,3.122242959660909e-05
-0.257792,3.280044926315027e-05
-0.25729451,3.453854480994678e-05
-0.25678113,3.591071507529531e-05
-0.25629365,3.713392341827187e-05
-0.25579491,3.831335927181375e-05
-0.25529301,3.979295696286331e-05
-0.25481844,4.157981295436386e-05
-0.25431782,4.287856916107655e-05
-0.25380823,4.440935063283085e-05
-0.25331143,4.621924334615937e-05
-0.25280508,4.705990463409979e-05
-0.2523129,4.81111907683294e-05
-0.25181568,4.959571243421735e-05
-0.25132224,5.136347489395903e-05
-0.25082415,5.331333777239277e-05
-0.25032181,5.465991099568978e-05
-0.24981308,5.537035914400046e-05
-0.24930733,5.6466467615086e-05
-0.24880756,5.792691200878211e-05
-0.24831115,5.986643562513102e-05
-0.24781772,6.196795738433415e-05
-0.24733044,6.357642500579301e-05
-0.24680775,6.449942913133537e-05
-0.24631071,6.566194257276079e-05
-0.24579796,6.737113164524136e-05
-0.24531175,6.924019343117617e-05
-0.24480815,7.047575454803429e-05
-0.2443096,7.179880888677937e-05
-0.24381067,7.308846597374767e-05
-0.24331978,7.465611767016396e-05
-0.24280749,7.627031526748489e-05
-0.2423147,7.783881827620937e-05
-0.24183208,7.906339894563639e-05
-0.24132507,8.027251948516712e-05
-0.2408134,8.170728897817611e-05
-0.24031806,8.357892575414045e-05
-0.23982781,8.496141659903786e-05
-0.23931316,8.652950892037992e-05
-0.23881911,8.813724125671162e-05
-0.2383157,8.93478210468012e-05
-0.23781444,9.090907161004008e-05
-0.23730889,9.217865472574286e-05
-0.23681486,9.32271979267466e-05
-0.23633116,9.493959392211988e-05
-0.23583457,9.731747308318525e-05
-0.23533539,9.941235120330872e-05
-0.23482266,0.0001011689129578998
-0.23431589,0.0001027835864651553
-0.23382835,0.0001041158492188091
-0.23331755,0.0001053053459448442
-0.23281842,0.0001063224280086542
-0.23231797,0.0001075392899649713
-0.23183452,0.0001086505859449155
-0.22935084,0.0001162700177425541
-0.22683361,0.0001242809796032661
-0.22632131,0.0001253836195010717
-0.22582392,0.0001262875340783849
-0.22532831,0.0001280038457615045
-0.2248164,0.000130058267435135
-0.22432676,0.0001312355112295977
-0.2238043,0.000132237925367078
-0.22331466,0.0001334791063864423
-0.22282168,0.0001349170438684397
-0.22231488,0.0001362511798443274
-0.2218363,0.0001378702609650269
-0.22132485,0.0001395853065265264
-0.22081231,0.0001411146642264289
-0.22032802,0.0001420593058793641
-0.21980765,0.0001427750500153208
-0.21931444,0.0001444514776065042
-0.21881908,0.000146608695643037
-0.21831757,0.0001492451014436778
-0.21782841,0.0001503237312708422
-0.21732944,0.0001511714700360221
-0.21682501,0.0001524566461099568
-0.21633327,0.0001544936073043105
-0.21584216,0.0001562551037076658
-0.21533072,0.0001577990808948916
-0.21482243,0.000159205624337726
-0.21434806,0.0001600635829852107
-0.21383347,0.0001605665494968937
-0.21332175,0.0001615672032905225
-0.21281286,0.0001642121082686258
-0.21229842,0.0001668509258639437
-0.21181987,0.0001678268000533598
-0.21132682,0.0001687880883899341
-0.21084824,0.00017011185341458
-0.21034124,0.0001718096670662791
-0.20984527,0.0001741310622189042
-0.20934656,0.0001758661604037933
-0.20883024,0.0001767421403268696
-0.20833443,0.0001776384952723543
