time/s,Ewe/V
279632.9625858781,-0.25437137
279633.0777857974,-0.24433841
279633.2299856879,-0.23428828
279633.4881854877,-0.22427249
279633.8471852257,-0.21424153
279634.3535848521,-0.20424099
279635.2875841558,-0.19422518
279638.4677817806,-0.18422081
279648.4679743301,-0.17998615
279658.4681668795,-0.17811893
279668.4683594289,-0.17630897
279678.4685519784,-0.17401026
279688.4687445278,-0.17289145
279698.4689370767,-0.17065385
279708.4691296261,-0.16966867
279718.4693221755,-0.16777091
279728.469514725,-0.16622825
279738.4697072744,-0.16471997
279748.4698998238,-0.16323839
279758.4700923732,-0.16169192
279768.4702849226,-0.16040128
279778.4704774721,-0.15898845
279788.4706700215,-0.15746488
279798.4708625709,-0.15557474
279808.4710551202,-0.15419629
279818.4712476695,-0.15265363
279828.4714402191,-0.15132099
279838.4716327684,-0.14989288
279848.4718253177,-0.1479111
279858.472017867,-0.14616607
279868.4722104163,-0.14515799
279878.4724029657,-0.14338242
279888.4725955147,-0.14135481
279898.4727880643,-0.1403162
279908.4729806138,-0.13858643
279918.4731731634,-0.13697505
279928.4733657129,-0.13539802
279938.4735582625,-0.13435557
279948.473750812,-0.13240817
279958.4739433615,-0.13080442
279968.4741359106,-0.12934195
279978.4743284602,-0.12758546
279988.4745210097,-0.12622991
279998.4747135593,-0.12473308
280008.4749061088,-0.12327824
280018.4750986584,-0.12162103
280028.4752912079,-0.12021201
280038.4754837574,-0.11823024
280048.475676307,-0.11664557
280058.4758688565,-0.1154924
280068.4760614061,-0.11414067
280078.4762539556,-0.11209397
280088.4764465052,-0.11095607
280098.4766390547,-0.1093905
280108.4768316038,-0.10773329
280118.4770241529,-0.10605317
280128.477216702,-0.104858
280138.477409251,-0.10357881
280148.4776018001,-0.10182614
280158.4777943492,-0.10014984
280168.4779868983,-0.098427713
280178.4781794474,-0.097255446
280188.4783719964,-0.096239738
280198.4785645455,-0.094792545
280208.4787570946,-0.093288071
280218.4789496437,-0.092081435
280228.4791421928,-0.090515867
280238.4793347418,-0.089194685
280248.4795272909,-0.087365642
280258.47971984,-0.086540855
280268.4799123891,-0.085464045
280278.4801049381,-0.084528528
280288.4802974872,-0.08261548
280298.4804900363,-0.081431754
280308.4806825854,-0.080561146
280318.4808751345,-0.078945942
280328.4810676835,-0.077850044
280338.4812602326,-0.076448672
280348.4814527817,-0.075108394
280358.4816453308,-0.07363829
280368.4818378799,-0.072630219
280378.4820304289,-0.072065085
280388.482222978,-0.070820265
280398.4824155271,-0.070018396
280408.4826080762,-0.068659022
280418.4828006253,-0.067387469
280428.4829931743,-0.066283941
280438.4831857234,-0.065516427
280448.4833782725,-0.064435802
280458.4835708216,-0.063374273
280468.4837633707,-0.062331833
280478.4839559197,-0.061006829
280488.4841484688,-0.060082763
280498.4843410179,-0.059051782
280508.484533567,-0.058047522
280518.4847261161,-0.056775976
280528.4849186651,-0.0556839
280538.4851112142,-0.055034764
280548.4853037633,-0.053801402
280558.4854963124,-0.05328209
280568.4856888615,-0.052277837
280578.4858814105,-0.051285036
280588.4860739596,-0.050907008
280598.4862665087,-0.049876027
280608.4864590578,-0.049192522
280618.4866516069,-0.048195902
280628.4868441559,-0.047222197
280638.487036705,-0.046821259
280648.4872292541,-0.045706268
280658.4874218032,-0.045133498
280668.4876143523,-0.044178884
280678.4878069013,-0.043919232
280688.4879994504,-0.042632408
280698.4881919995,-0.041685432
280708.4883845486,-0.040532257
280718.4885770977,-0.04055899
280728.4887696467,-0.040158052
280738.4889621958,-0.039283626
280748.4891547449,-0.03844738
280758.489347294,-0.03716056
280768.4895398431,-0.036091395
280778.4897323921,-0.03653815
280788.4899249412,-0.035281882
280798.4901174903,-0.034342539
280808.4903100394,-0.033422291
280818.4905025885,-0.032437127
280828.4906951375,-0.031784173
280838.4908876866,-0.031062486
280848.4910802357,-0.030512627
280858.4912727848,-0.029794756
280868.4914653338,-0.028668312
280878.4916578829,-0.027958078
280888.491850432,-0.027698424
280898.4920429811,-0.027102742
280908.4922355306,-0.025980117
280918.4924280802,-0.024834579
280928.4926206297,-0.024238899
280938.4928131793,-0.023925787
280948.4930057288,-0.022990266
280958.4931982784,-0.022448044
280968.4933908279,-0.021661442
280978.493583377,-0.020668643
280988.4937759265,-0.019481102
280998.4939684761,-0.018774688
281008.4941610256,-0.018404298
281018.4943535752,-0.017835347
281028.4945461247,-0.017377133
281038.4947386743,-0.017079292
281048.4949312238,-0.016067402
281058.4951237733,-0.015697012
281068.4953163229,-0.01522734
281078.4955088724,-0.014765307
281088.495701422,-0.0138947
281098.4958939715,-0.013008817
281108.4960865211,-0.012142027
281118.4962790704,-0.011240871
281128.4964716197,-0.01136688
281138.496664169,-0.0099769607
281148.4968567183,-0.0095111094
281158.4970492676,-0.0085144918
281168.4972418169,-0.0081364652
281178.4974343663,-0.0075216927
281188.4976269156,-0.0071818503
281198.4978194649,-0.0063226977
281208.4980120142,-0.0058186613
281218.4982045636,-0.0051847971
281228.4983971131,-0.0050816988
281238.4985896625,-0.0039094323
281248.4987822114,-0.0041309032
281258.4989747609,-0.0034206696
281268.4991673103,-0.0025424242
281278.4993598597,-0.0014923487
281288.4995524092,-0.0022713139
281298.4997449586,-0.0011906904
281305.6903396032,4.4867447e-06
281305.6905396031,-2.6060743e-05
